cluster,keyword,us_pop,us_diff,ca_pop,ca_diff,au_pop,au_diff,gb_pop,gb_diff
U14 Date stamp,timestamp photo,5,41,5,23,5,37,5,23
U14 Date stamp,photo date stamp,5,15,5,15,5,17,5,19
U15 Format specifics,webp to png,5,5,5,15,5,15,5,5
U15 Format specifics,tiff to jpg,5,13,5,9,5,11,5,11
U15 Format specifics,raw to jpg,5,44,5,21,5,19,5,13
U15 Format specifics,dng to jpg,5,44,5,13,5,15,5,11
U15 Format specifics,bmp to jpg,5,17,5,13,5,13,5,13
U15 Format specifics,avif converter,5,5,5,7,5,7,5,5
U15 Format specifics,jfif to jpg,5,21,5,17,5,21,5,9
U15 Format specifics,png converter,7,48,6,23,6,19,9,13
U15 Format specifics,jpg converter,9,21,25,19,9,11,9,9
U16 Photo cleaner / storage,duplicate photos,5,39,5,17,5,38,5,17
U16 Photo cleaner / storage,free up space,15,43,5,41,5,23,5,38
U16 Photo cleaner / storage,clean photos,9,55,5,23,6,41,6,42
U16 Photo cleaner / storage,duplicate photo remover,5,19,5,11,5,15,5,15
U16 Photo cleaner / storage,photo storage cleaner,8,40,5,37,8,17,8,37
U16 Photo cleaner / storage,similar photos,5,39,5,15,5,15,5,19
